doctype,docno,docdate,party_code,original_party_name,lpo_no,location,original_salesman,gross_amount,discount,net_amount,vat_amount,created_ts,created_by,invoice_mode,area,original_division,division,salesman,party_name
CSI20,1320,2024-01-03,ARC-S1654,Solar Steel General Trading LLC,,Multicolor,SANOOP,35.0,0.0,35.0,1.75,2024-01-03,SAMSHEER,CASH,,MCJ,div_0556003793,man_0264100041,party_1451995292
CSI20,1321,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,SANOOP,240.0,0.0,240.0,12.0,2024-01-03,SAMSHEER,CASH,,MCJ,div_0556003793,man_0264100041,party_0984764295
OSI10,1419,2024-01-03,AR-A0243,AQUA DYNAMIC ELECTROMECHANICAL LLC,ADE-2024-184,Musaffah Shop,MAHAROOF ,846.0,0.0,846.0,42.3,2024-02-21,ASHKAR,CREDIT,ABU DHABI,HO,div_2006915470,man_1666262237,party_1559874750
CSI10,1146,2024-01-03,ARC-A1450,ASHTAR INTERNATIONAL CONTRACTING & GENERAL MAINTENANCE L.L.,,Musaffah Shop,NASSAR,140.0,0.0,140.0,7.0,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_0864799156,party_0621175537
CSI20,56078,2024-12-09,ARC-W0021,WALK IN - MCJ,,Multicolor,JAFEER ,220.0,0.0,220.0,11.0,2024-12-09,SAMSHEER,CASH,,MCJ,div_0556003793,man_1683097300,party_0984764295
CSI40,1041,2024-01-03,ARC-Z1581,ZAYED HIGHER ORGANIZATION,,Branch 2,SHAJAHAN ,730.0,0.0,730.0,36.5,2024-01-03,SHAJAHAN M,CASH,ABU DHABI,Branch 2,div_0097926054,man_1937350786,party_1865345889
CSI20,1322,2024-01-03,ARC-R0104,REGAL ELECTRICAL TRADING,,Multicolor,SAMSHEER ,1250.0,0.0,1250.0,62.5,2024-01-03,SAMSHEER,CASH,ABU DHABI,MCJ,div_0556003793,man_1994684813,party_0588245733
CSI20,1323,2024-01-03,ARC-W1591,WELLTECH ELECTRO MECHANICAL,,Multicolor,RISHAD C,330.0,0.0,330.0,16.5,2024-01-03,SAMSHEER,CASH,,MCJ,div_0556003793,man_1841802797,party_0803430136
CSI10,1147,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,AKTAR HOSSAIN,90.0,0.0,90.0,4.5,2024-01-03,SUNDARAN,CASH,,HO,div_2006915470,man_0900539661,party_0832930093
CSI10,1148,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,NASSAR,35.0,0.0,35.0,1.75,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_0864799156,party_0832930093
SI40,1006,2024-01-03,AR-B0022,BMQ TECHNICAL SUPPLIES COMPANY - L.L.C,PO/BMQ/2024/4063,Branch 2,ABDUL SATHAR,920.0,0.0,920.0,46.0,2024-01-22,ASHKAR,CREDIT,,Branch 2,div_0097926054,man_0427457728,party_0372937441
CSI10,1149,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,FAISAL,270.0,0.5,269.5,13.48,2024-01-03,NASSAR,CASH,,HO,div_2006915470,man_1993412060,party_0832930093
